1234567890
QWERTYUIOPASDFGHJKLZXCVBNM
qwertyuiopasdfghjklzxcvbnm
~!@#$%^&*()_+|-=\{}:’"<>?[];',./ ©△○□★☆⊙∞
■◆◇◎♣♧♡♥◈※→↑ ▲▼

English 한국어 日本語 繁體中文 ภาษาไทย 


夜, 念, 富, 止
key	_대분류	_소분류	_번역 안됨	en_US	ko_KR	ja_JP	zh_TW	th_TH	_스킬(영어원문 / 지우면 안됨)	_스킬(일어원문 / 지우면 안됨)	_스킬(중국어원문 / 지우면 안됨)	_스킬(태국어원문 / 지우면 안됨)	_비고2	1
first	없음	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
10000 ~ 99099	전체	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
11000 ~ 19099	시스템 & 스킬 & 아이템	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
14000 ~ 14999	튜토리얼	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
20000 ~ 89099	UI & 팝업	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
21000 ~ 21499	상품명	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
21500 ~ 22000	상품설명	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
50000 ~ 51999	미션	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
90000 ~ 92999	이벤트	x	FALSE	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의	key 범위값 정의						
10000	시간 (이전)	일	FALSE	{0} d left	{0}일 남음	{0}日 残り	剩下 {0} 天	เหลือ {0} วัน						
10001		시간	FALSE	{0} h left	{0}시간 남음	{0}時間 残り	剩下 {0} 小時	เหลือ {0} ชั่วโมง						
10002		분	FALSE	{0} m left	{0}분 남음	{0}分 残り	剩下 {0} 分鐘	เหลือ {0} นาที						
10003		초	FALSE	{0} s left	{0}초 남음	{0}秒 残り	剩下 {0} 秒	เหลือ {0} วินาที						
10004		끝남	FALSE	End	종료	終了	結束	สิ้นสุด						
10005			FALSE	({0} left for recharge)	(충전까지 {0} 남음)	(充電まで {0} 残り)	(距離充電剩下 {0})	(เหลือ {0} ถึงชาร์จใหม่)						
10006		일 시	FALSE	{0}d {1}h	{0}일 {1}시간	{0}日 {1}時間	{0} 天 {1} 小時	{0} วัน {1} ชั่วโมง						
10008	시간 (이후)	일	FALSE	{0} days passed	{0}일 지남	{0}日 経過	已過 {0} 天	ผ่านมาแล้ว {0} วัน					배틀로그	
10009		시간 분	FALSE	{0} h {1} m passed	{0}시 {1}분 지남	{0}時間 {1}分 経過	已過 {0} 小時 {1} 分鐘	ผ่านมาแล้ว {0} ชั่วโมง {1} นาที					배틀로그	
